
2024/03/17 (11:13:53) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/17 (11:14:38) | ===> btop++ v.1.3.2
2024/03/17 (11:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/17 (11:14:38) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/17 (11:14:51) | ===> btop++ v.1.3.2
2024/03/17 (11:14:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (11:15:22) | ===> btop++ v.1.3.2
2024/03/17 (11:15:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (11:16:29) | ===> btop++ v.1.3.2
2024/03/17 (11:16:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (11:16:45) | ===> btop++ v.1.3.2
2024/03/17 (11:16:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (13:42:00) | ===> btop++ v.1.3.2
2024/03/17 (13:42:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/17 (13:42:00) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/17 (13:42:33) | ===> btop++ v.1.3.2
2024/03/17 (13:42:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (13:03:38) | ===> btop++ v.1.3.2
2024/03/18 (13:03:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (15:22:14) | ===> btop++ v.1.3.2
2024/04/02 (15:22:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/02 (15:22:14) | WARNING: NVML: Failed to get GPU power usage: No data

2024/04/02 (21:06:16) | ===> btop++ v.1.3.2
2024/04/02 (21:06:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:06:45) | ===> btop++ v.1.3.2
2024/04/02 (21:06:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:07:03) | ===> btop++ v.1.3.2
2024/04/02 (21:07:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:07:16) | ===> btop++ v.1.3.2
2024/04/02 (21:07:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:07:35) | ===> btop++ v.1.3.2
2024/04/02 (21:07:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:08:47) | ===> btop++ v.1.3.2
2024/04/02 (21:08:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:09:11) | ===> btop++ v.1.3.2
2024/04/02 (21:09:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (09:28:51) | ===> btop++ v.1.3.2
2024/04/08 (09:28:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (14:16:53) | ===> btop++ v.1.3.2
2024/04/08 (14:16:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (14:27:14) | ===> btop++ v.1.3.2
